firstname,lastname,yearstart,team_id
Mike,D'Antoni,2015,11
Nate,McMillen,2015,12
Doc,Rivers,2012,13
Luke,Walton,2017,14
J.B.,Bickerstaff,2016,15
Erick,Spoelstra,2010,16
Mike,Budenholzer,2015,17
Ryan,Saunders,2017,18
Alvin,Gentry,2017,19
David,Fizdale,2015,20
Lloyd,Pierce,2017,1
Steve,Kerr,2014,10
Billy,Donovan,2015,21
Steve,Clifford,2015,22
Brett,Brown,2015,23
Monty,Williams,2017,24
Terry,Stots,2013,25
Rick,Adelman,2016,26
Quin,Snyder,2015,27
Gregg,Popovich,1998,28
Nick,Nurse,2017,29
Brad,Stevens,2015,2
Scott,Brooks,2014,30
Kenny,Atkinson,2018,3
James,Borego,2017,5
Jim,Boylen,2016,4
Tyronne,Lue,2016,6
Rick,Carlisle,2005,7
Michael,Malone,2017,8
Dwayne,Casey,2016,9
