ID,Firstname,Lastname,Sponsor,Notes,Citation
33,Nicolas ,Batum,Nike,half a million dollar deal,
100,Antonius,Cleveland,,,
101,John,Collins,,,
102,Zach,Collins,,,
103,Kyle,Collinsworth,,,
104,Darren,Collison,,,
105,Nick,Collison,,,
106,Mike,Conley,Jordan(Nike),,https://www.forbes.com/profile/mike-conley-jr/#2514a88f3289
107,Pat,Connaughton,,,
108,Quinn,Cook,,,
109,Charles,Cooke,,,
11,Al-Farouq,Aminu,,,
110,Jack,Cooley,,,
111,Matt,Costello,,,
112,DeMarcus,Cousins,Mikuni,,http://www.demarcuscousins.com/bio/#
112,DeMarcus,Cousins,VSP Global,,
112,DeMarcus,Cousins,Chase Chevy,,
112,DeMarcus,Cousins,Puma,,"https://www.goldenstateofmind.com/2018/10/4/17938836/2018-nba-sneakers-warriors-demarcus-cousins-signs-endorsement-with-puma-will-nike-match, https://solecollector.com/news/2018/10/demarcus-cousins-signs-puma-deal,"
113,Robert,Covington,,,
114,Allen,Crabbe,,,
115,Torrey,Craig,,,
116,Jamal,Crawford,Adidas,,https://www.jamalcrawford.com/partners
117,Jordan,Crawford,,,
118,Jae,Crowder,,,
119,Dante,Cunningham,,,
12,Justin,Anderson,,,
120,Stephen,Curry,Under Armour,$42M with endorsements,
120,Stephen,Curry,Chase,,https://www.ibtimes.com/steph-curry-net-worth-gsw-salary-endorsements-ahead-nba-finals-game-3-2797854
120,Stephen,Curry,Nissan/Infiniti,,https://www.forbes.com/profile/stephen-curry/#5caba477437c
120,Stephen,Curry,Vivo,,https://www.sportskeeda.com/basketball/stephen-curry-net-worth
120,Stephen,Curry,eHi,,
120,Stephen,Curry,Brita,,
120,Stephen,Curry,Bubble,,
120,Stephen,Curry,JBL,,
120,Stephen,Curry,Sony Pictures,,
120,Stephen,Curry,Rakuten,,https://sponsorpitch.com/properties/stephen-curry
120,Stephen,Curry,Palm,,https://www.cnbc.com/2019/02/15/nba-stars-james-curry-and-durant-make-more-money-off-the-court.html
120,Stephen,Curry,CryptoKitties,,
120,Stephen,Curry,PressPlay,,https://bleacherreport.com/articles/2779254-stephen-curry-net-worth-breaking-down-his-salary-shoe-contract-and-more
121,Troy,Daniels,,,
122,Anthony,Davis,Nike,,
122,Anthony,Davis,ExxonMobil,,https://www.forbes.com/profile/anthony-davis/#4429c4ac7fa6
122,Anthony,Davis,Saks Inc.,,
122,Anthony,Davis,Foot Locker,,
122,Anthony,Davis,Red Bull,,https://sponsorpitch.com/properties/anthony-davis
122,Anthony,Davis,Ruffles(Frito-Lay),,https://www.prnewswire.com/news-releases/six-time-nba-all-star-anthony-davis-signs-first-ever-chip-deal-with-ruffles-official-chip-of-the-nba-300870603.html
123,Deyonta,Davis,,,
124,Ed,Davis,,,
125,Dewayne,Dedmon,,,
126,Sam,Dekker,,,
127,Malcolm,Delaney,,,
128,Matthew,Dellavedova,,,
129,Luol,Deng,,,
13,Kyle,Anderson,,,
130,DeMar,DeRozan,Spalding,$5M from endorsements (https://www.celebritynetworth.com/richest-athletes/nba/demar-derozan-net-worth/),https://www.forbes.com/profile/demar-derozan/#133ad99324b6
130,DeMar,DeRozan,Nike,,
130,DeMar,DeRozan,Gatorade,,https://www.sportskeeda.com/basketball/demar-derozan-net-worth
131,Cheick,Diallo,,,
132,Gorgui,Dieng,,,
133,Spencer,Dinwiddie,,,
134,Tyler,Dorsey,,,
135,Damyean,Dotson,,,
136,Milton,Doyle,,,
137,PJ,Dozier,,,
138,Goran,Dragic,,,
139,Larry,Drew,,,
14,Ryan,Anderson,,,
140,Andre,Drummond,Panini,$1M from endorsements,https://www.forbes.com/profile/andre-drummond/#433f315c5e9b
140,Andre,Drummond,AT&T,,
140,Andre,Drummond,Gillette,,
140,Andre,Drummond,Nike,,
141,Jared,Dudley,,,
142,Kris,Dunn,,,
143,Kevin,Durant,Google,$35M from endorsements,https://www.forbes.com/profile/kevin-durant/#13e0304b377e
143,Kevin,Durant,Alaska Air Group,,
143,Kevin,Durant,Nike,,
143,Kevin,Durant,American Family Insurance,,https://digiday.com/media/nba-star-kevin-durant-turning-athlete-endorsements-media-deals/
143,Kevin,Durant,Panini,,https://www.wearebasket.net/top-endorsement-earners-in-the-nba/
143,Kevin,Durant,Beats (Apple),Media Deals,https://www.cnbc.com/2019/02/15/nba-stars-james-curry-and-durant-make-more-money-off-the-court.html
143,Kevin,Durant,ESPN,,
143,Kevin,Durant,YouTube,,
143,Kevin,Durant,Postmates,Investments,
143,Kevin,Durant,Lime,,
143,Kevin,Durant,Rubrik,,
143,Kevin,Durant,Master & Dynamic,,https://bleacherreport.com/articles/2837327-kevin-durant-net-worth-breaking-down-his-salary-shoe-contract-and-more
144,Jarell,Eddie,,,
145,Henry,Ellenson,,,
146,Wayne,Ellington,,,
147,Joel,Embiid,Under Armour,,
147,Joel,Embiid,HyperX (Kingston Technology),,https://www.hyperxgaming.com/us/company/press/article/42880
147,Joel,Embiid,Hulu,,https://www.12up.com/posts/6302358-joel-embiid-announces-hulu-endorsement-deal-in-typically-comical-fashion-on-instagram
148,James,Ennis,,,
149,Tyler,Ennis,,,
15,Ike,Anigbogu,,,
150,Jawun,Evans,,,
151,Jeremy,Evans,,,
152,Tyreke,Evans,,,
153,Dante,Exum,,,
154,Kenneth,Faried,,,
155,Derrick,Favors,,,
156,Kay,Felder,,,
157,Cristiano,Felicio,,,
158,Raymond,Felton,,,
159,Terrance,Ferguson,2K Sports,$19M from endorsements,https://www.forbes.com/profile/giannis-antetokounmpo/#54d3dd8d6eba
16,Giannis,Antetokounmpo,Hulu,,
16,Giannis,Antetokounmpo,Nike,$9M annual pay,
16,Giannis,Antetokounmpo,T-Mobile,,https://sponsorpitch.com/properties/giannis-antetokounmpo
16,Giannis,Antetokounmpo,TCL Corporation,,
16,Giannis,Antetokounmpo,JBL,,https://bleacherreport.com/articles/2837508-giannis-antetokounmpo-net-worth-breaking-down-salary-shoe-contract-and-more
16,Giannis,Antetokounmpo,Tissot,,
16,Giannis,Antetokounmpo,Kronos Food,,
16,Giannis,Antetokounmpo,BMO Harris,,https://www.sportskeeda.com/basketball/giannis-antetokounmpo-net-worth
160,Yogi,Ferrell,,,
161,Dorian,Finney-Smith,,,
162,Bryn,Forbes,,,
163,Evan,Fournier,,,
164,DeAaron,Fox,HyperX (Kingston Technology),,http://www.netimperative.com/2019/01/kingston-rolls-out-esports-gaming-campaign-with-post-malone/
164,DeAaron,Fox,Nike,,https://www.forbes.com/sites/wesgoldberg/2019/06/18/deaaron-fox-nike-collaboration-offseason-sacramento-kings/#72379b687603
165,Tim,Frazier,,,
166,Channing,Frye,,,
167,Markelle,Fultz,Nike,,"2, https://www.nbcsports.com/boston/boston-celtics/markelle-fultz-agrees-endorsement-deal-nike"
168,Danilo,Gallinari,,,
169,Langston,Galloway,,,
17,Carmelo,Anthony,Panini,$6M from endorsements,https://www.forbes.com/profile/carmelo-anthony/#58163481c42e
17,Carmelo,Anthony,Foot Locker,,
17,Carmelo,Anthony,Nike,,
170,Marc,Gasol,San Miguel,$1M from endorsements,https://www.forbes.com/profile/marc-gasol/#1f765c2d6add
170,Marc,Gasol,Nike,,
171,Pau,Gasol,San Miguel,$2.5M from endorsements,https://www.forbes.com/profile/pau-gasol/#74b9151a1806
171,Pau,Gasol,Banco Popular Espanol,,
171,Pau,Gasol,Nike,,
172,Rudy,Gay,Puma,,https://news4sanantonio.com/sports/rudy-gay-inks-shoe-deal-with-puma
173,Paul,George,New Era,$8M from endorsements,https://www.forbes.com/profile/paul-george/#40e130d1489c
173,Paul,George,Bass Pro Shops,,
173,Paul,George,Foot Locker,,
173,Paul,George,Gatorade,,
173,Paul,George,Nike,,
174,Marcus,Georges-Hunt,,,
175,Jonathan,Gibson,,,
176,Taj,Gibson,,,
177,Manu,Ginobili,,,
178,Rudy,Gobert,,,
179,Aaron,Gordon,,,
18,OG,Anunoby,,,
180,Eric,Gordon,,,
181,Marcin,Gortat,,,
182,Treveon,Graham,,,
183,Jerami,Grant,,,
184,Jerian,Grant,,,
185,Josh,Gray,,,
186,Danny,Green,Puma,,https://bleacherreport.com/articles/2799992-danny-green-puma-reportedly-agree-to-multi-year-shoe-contract
187,Draymond,Green,Verizon,~ $4M from endorsements,https://www.forbes.com/sites/kurtbadenhausen/2017/03/09/warriors-draymond-green-wants-to-be-a-billionaire-before-he-turns-40/#6c8cae765f90
187,Draymond,Green,Nike,,
188,Gerald,Green,Adidas,,https://rocketswire.usatoday.com/2018/02/26/gerald-green-adidas-shoe-deal/
189,JaMychal,Green,,,
19,Ryan,Arcidiacono,,,
190,Jeff,Green,,,
191,Blake,Griffin,Panini,$7M from endorsements,https://www.forbes.com/profile/blake-griffin/#4720ccdf3279
191,Blake,Griffin,Nike,,
191,Blake,Griffin,Red Bull,,
191,Blake,Griffin,15 seconds of Fame,,https://sponsorpitch.com/properties/blake-griffin
191,Blake,Griffin,Flagstar Bank,,
191,Blake,Griffin,WinView,,
192,Daniel,Hamilton,,,
193,Tim,Hardaway,,,
194,James,Harden,BodyArmor,$17M from endorsements,https://www.forbes.com/profile/james-harden/#5424cbba10aa
194,James,Harden,Adidas,,
194,James,Harden,Electronic Arts,,
194,James,Harden,State Farm,,
194,James,Harden,Beats by Dre,,https://www.thestreet.com/lifestyle/sports/james-harden-net-worth-14770681
194,James,Harden,Foot Locker,,https://www.sportskeeda.com/basketball/james-harden-net-worth
194,James,Harden,BBVA Compass,,https://www.forbes.com/sites/kurtbadenhausen/2018/02/17/the-2018-nba-all-stars-players-who-earn-the-most-from-endorsements/#11c70b421755
194,James,Harden,New Era,,
194,James,Harden,Trolli,,
10,Tony,Allen,,,
195,Maurice,Harkless,,,
196,Montrezl,Harrell,,,
197,Devin,Harris,,,
198,Gary,Harris,,,
199,Joe,Harris,,,
2,Quincy,Acy,,,
20,Trevor,Ariza,,,
200,Tobias,Harris,,,
201,Aaron,Harrison,,,
202,Andrew,Harrison,,,
203,Shaquille,Harrison,,,
204,Josh,Hart,Turtle Beach,,https://sponsorpitch.com/properties/josh-hart
205,Udonis,Haslem,,,
206,Nigel,Hayes,,,
207,Gordon,Hayward,Panini,$3M from endorsements,https://www.forbes.com/profile/gordon-hayward/#2c20aa9c1fff
207,Gordon,Hayward,Anta Sports Products,,
207,Gordon,Hayward,Comcast,,
207,Gordon,Hayward,Dick's Sporting Goods,,
207,Gordon,Hayward,Fanatics,,
208,Reggie,Hearn,,,
209,Myke,Henry,,,
21,Darrell,Arthur,,,
210,John,Henson,,,
211,Juan,Hernangomez,,,
212,Willy,Hernangomez,,,
213,Mario,Hezonja,,,
214,Isaiah,Hicks,,,
215,Buddy,Hield,,,
216,Nene,Hilario,,,
217,George,Hill,,,
218,Solomon,Hill,,,
219,Darrun,Hilliard,,,
22,Jamel,Artis,,,
220,Jrue,Holiday,,,
221,Justin,Holiday,,,
222,John,Holland,,,
