ID,Firstname,Lastname,Position,Team,Twitter Handle,Twitter Followers,Instagram Handle,Instagram Followers
100,Antonius,Cleveland,SG,1,ac_uno1,2389,ac_uno1,7050
101,John,Collins,PF,1,jcollins20_,21.5k,jcollins20_,129k
102,Zach,Collins,C,25,zcollins_33,21.4k,zachcollins_33,92.6k
103,Kyle,Collinsworth,SF,7,bigrussia5,10.5k,collinsworth5,9474
104,Darren,Collison,PG,12,Darren_Collison,106k,darrencollison_,31.3k
105,Nick,Collison,PF,21,nickcollison4,147k,nicholascollison,104k
106,Mike,Conley,PG,15,mconley11,522k,mac11,516k
107,Pat,Connaughton,SG,25,pconnaughton,45.2k,patconnaughton,99.8k
108,Quinn,Cook,PG,10,QCook323,160k,qcook323,774k
109,Charles,Cooke,SG,19,c4_cooke,1416,c4_cooke,5290
11,Al-Farouq,Aminu,PF,25,farouq1,83k,chiefhasarrived,85.8k
110,Jack,Cooley,PF,26,,,,
111,Matt,Costello,C,27,MattCostello10,12.9k,mattcostello2410,20.6k
112,DeMarcus,Cousins,C,19,boogiecousins,1.14m,boogiecousins,3m
113,Robert,Covington,SF,23,Holla_At_Rob33,85k,atf_33,169k
114,Allen,Crabbe,SG,3,allencrabbe,34.2k,allencrabbe,73.1k
115,Torrey,Craig,SF,8,TCraig_23,4376,tcraig3_,44.5k
116,Jamal,Crawford,SG,18,Jcrossover,1.32m,,
117,Jordan,Crawford,SG,19,IAM_Jcraw,1754,iam_jcraw,33.6k
118,Jae,Crowder,SF,6,CJC9BOSS,153k,bossmann99,399k
119,Dante,Cunningham,SF,3,DlamarC33,16.2k,dlamarc33,14.4k
12,Justin,Anderson,SF,23,JusAnderson1,45.1k,jusanderson1,90.1k
120,Stephen,Curry,PG,10,StephenCurry30,13.6m,stephencurry30,26.4m
121,Troy,Daniels,SG,24,troydaniels,35.9k,troydaniels30,63.3k
122,Anthony,Davis,PF,19,AntDavis23,1.66m,antdavis23,4.1m
123,Deyonta,Davis,C,15,DeyontaDavis_04,5397,deyontadavis_231,33.3k
124,Ed,Davis,C,25,eddavisXVII,66.1k,eddavisxvii,130k
125,Dewayne,Dedmon,C,1,d_dedmon3,16.4k,d_dedmon3,52.2k
126,Sam,Dekker,PF,13,dekker,276k,samdek7,205k
127,Malcolm,Delaney,PG,1,foe23,16k,foe2304,27.5k
128,Matthew,Dellavedova,PG,17,matthewdelly,189k,matthewdelly,437k
129,Luol,Deng,SF,14,LuolDeng9,386k,luoldeng9,327k
13,Kyle,Anderson,SF,27,KyleAnderson5,52.3k,teamslowmo,136k
130,DeMar,DeRozan,SG,28,DeMar_DeRozan,644k,demar_derozan,2.5m
131,Cheick,Diallo,PF,19,cheick_diallo13,17.3k,_cd13,56.8k
132,Gorgui,Dieng,C,18,GorguiDieng,58.3k,gorguidieng,113k
133,Spencer,Dinwiddie,PG,3,SDinwiddie_25,58.7k,spencerdinwiddie,177k
134,Tyler,Dorsey,SG,1,TDORSEY_1,13.8k,tylerdorsey5,55.8k
135,Damyean,Dotson,SG,20,wholeteamDot,12.9k,wholeteamdot,44.1k
136,Milton,Doyle,SG,3,MDLU35,1907,md_trey5,42.1k
137,PJ,Dozier,PG,21,Dozier_Kid,11k,dozier_kid,37.6k
138,Goran,Dragic,PG,16,Goran_Dragic,344k,the_1_dragon,327k
139,Larry,Drew,PG,19,,,larry.light,5603
14,Ryan,Anderson,PF,11,,,rjanderson33,61.9k
140,Andre,Drummond,C,9,AndreDrummond,837k,andredrummondd,1.1m
141,Jared,Dudley,PF,24,JaredDudley619,253k,,
142,Kris,Dunn,PG,4,KrisDunn3,48.9k,,
143,Kevin,Durant,PF,10,KDTrey5,17.8m,easymoneysniper,11.3m
144,Jarell,Eddie,SF,2,,,,
145,Henry,Ellenson,PF,9,enryEllenson13,11.6k,henryellenson13,24.9k
146,Wayne,Ellington,SG,16,WayneEllington,51.4k,,
147,Joel,Embiid,C,23,JoelEmbiid,1.67m,joelembiid,3.6m
148,James,Ennis,SF,9,JamesDa_Truth,32k,biggame_08,117k
