GamesPlayed,PPG,APG,RPG,MPG,PER,FG,FT,PlayerID
4,3.3,0,1,3.6,0.786,1,0.5,100
74,10.5,1.3,7.3,14.8,0.591,4.2,1.8,101
66,4.4,0.8,3.3,8.8,0.458,1.7,0.4,102
32,3.2,1.8,3.3,6.2,0.404,1.2,0.7,103
69,12.4,5.3,2.6,18.4,0.571,4.6,1.8,104
15,2.1,0.3,1.3,2.6,0.684,0.9,0.3,105
12,17.1,4.1,2.3,28,0.452,5.3,4.4,106
82,5.4,1.1,2,9.6,0.518,2,0.5,107
33,9.5,2.7,2.5,15.2,0.575,3.7,0.7,108
13,0.5,0.1,0.2,2.2,0.179,0.2,0.1,109
22,4.7,0.4,2.1,8.2,0.505,2,0.5,10
7,5.7,0.9,4.3,7.8,0.481,1.9,2,110
4,1,0.5,2.3,2,0.5,0.5,0,111
48,25.2,5.4,12.9,36,0.53,8.5,6.1,112
80,12.6,2,5.4,21,0.534,4.3,1.5,113
75,13.2,1.6,4.3,22,0.529,4.5,1.5,114
39,4.2,0.6,3.3,7,0.515,1.6,0.6,115
80,10.3,2.3,1.2,18.6,0.485,3.9,1.3,116
5,6.6,2.6,0.8,10.8,0.593,2.4,0.2,117
53,8.6,1.1,3.3,14.2,0.5,3,1.5,118
22,7.5,1,4.8,12.6,0.55,3,0.5,119
69,9.3,1.2,7.6,16.8,0.503,3.3,0.9,11
51,26.4,6.1,5.1,33.8,0.618,8.4,5.5,120
79,8.9,0.6,1.6,14.6,0.563,2.9,0.7,121
75,28.1,2.3,11.1,39,0.552,10.4,6.6,122
62,5.8,0.6,4,8.6,0.608,2.6,0.6,123
78,5.3,0.5,7.4,7.4,0.582,2.2,0.9,124
62,10,1.5,7.9,15.4,0.577,4,1.1,125
73,4.2,0.5,2.4,7,0.514,1.8,0.5,126
54,6.3,3,1.9,10.6,0.463,2,1.4,127
38,4.3,3.8,1.7,8,0.457,1.4,0.7,128
1,2,1,0,4,0.5,1,0,129
38,6.2,0.7,2.4,10.6,0.515,2.3,0.7,12
80,23,5.2,3.9,35.4,0.488,8.1,5.8,130
52,4.9,0.4,4.1,6.8,0.58,2,1,131
79,5.9,0.9,4.6,9.8,0.504,2.4,1,132
80,12.6,6.6,3.2,21,0.471,4.1,2.7,133
56,7.2,1.4,2.3,13.6,0.471,2.6,0.8,134
44,4.1,0.7,1.9,7.4,0.516,1.6,0.4,135
10,3.4,1,1.8,9.4,0.319,1.3,0.4,136
2,1,0,0.5,2,0.5,0.5,0,137
75,17.3,4.8,4.1,28.6,0.502,6.5,2.9,138
7,2.1,1.1,0.3,4.8,0.441,0.9,0,139
74,7.9,2.7,5.4,11.8,0.549,3.1,1.4,13
78,15,3,16,22.6,0.529,6,3.1,140
